control_number,specific_name,generic_name,category,qty,unit,origin,ship_date
2014415237,,SHELL,JWL,91,NO,US,2/5/14
2014415237,,OYSTER,JWL,70,NO,PF,2/5/14
2014415237,,SEA FAN,JWL,38,NO,CN,2/5/14
2014415237,,OYSTER,JWL,36,NO,PH,2/5/14
2014415246,WHITE-TAILED,DEER,GAR,3360,NO,US,1/30/14
2014415256,TROPICAL,FISH,LIV,357,NO,PH,2/6/14
2014415256,OTHER,INVERTEBRATES,LIV,20,NO,PH,2/6/14
2014415256,"CRABS, LOBSTERS,",CRUSTACEANS,LIV,109,NO,PH,2/6/14
2014415256,MOLLUSC,SHELL,LIV,134,NO,PH,2/6/14
2014415260,ELEGANT,CORAL,LIV,3,NO,ID,2/6/14
2014415260,TORCH,CORAL,LIV,3,NO,ID,2/6/14
2014415260,CAT'S-EYE,CORAL,LIV,4,NO,ID,2/6/14
2014415260,WHITE GRAPE,CORAL,LIV,25,NO,ID,2/6/14
2014415260,MUSHROOM,CORAL,LIV,10,NO,ID,2/6/14
2014415260,DAISY,CORAL,LIV,14,NO,ID,2/6/14
2014415260,HORN,CORAL,LIV,1,NO,ID,2/6/14
2014415260,BRAIN,CORAL,LIV,15,NO,ID,2/6/14
2014415260,BRAIN,CORAL,LIV,5,NO,ID,2/6/14
2014415260,BUBBLE,CORAL,LIV,10,NO,ID,2/6/14
2014415260,CRATER,CORAL,LIV,25,NO,ID,2/6/14
2014415260,DAISY,CORAL,LIV,4,NO,ID,2/6/14
2014415260,ORGAN-PIPE,CORAL,LIV,2,NO,ID,2/6/14
2014415260,STONY,CORAL,LIV,2,NO,ID,2/6/14
2014415260,STAGHORN,CORAL,LIV,13,NO,ID,2/6/14
2014415260,STAGHORN,CORAL,LIV,7,NO,ID,2/6/14
2014415260,STONY,CORAL,ROC,69,NO,ID,2/6/14
2014415260,STONY,CORAL,ROC,158,NO,ID,2/6/14
2014415260,OTHER,INVERTEBRATES,LIV,89,NO,ID,2/6/14
2014415260,,CORAL,LIV,5,NO,ID,2/6/14
2014415260,TRUMPET,CORAL,LIV,2,NO,ID,2/6/14
2014415260,,CORAL,LIV,7,NO,ID,2/6/14
2014415260,"CRABS, LOBSTERS,",CRUSTACEANS,LIV,5,NO,ID,2/6/14
2014415260,MOLLUSC,SHELL,LIV,45,NO,ID,2/6/14
2014415270,,STURGEONS,CAV,130,GM,XX,2/6/14
2014415689,,SQUID,MEA,9193,KG,CN,2/7/14
2014415714,KISSLIP,CUTTLEFISH,MEA,41,KG,JP,2/9/14
2014415714,KISSLIP,CUTTLEFISH,MEA,93,KG,JP,2/9/14
2014415714,,SQUID,MEA,160,KG,JP,2/9/14
2014415714,,SQUID,MEA,160,KG,JP,2/9/14
